               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091473,            0.039436,                   0,             0.38467,             0.49587,               0.358,             0.11148,            0.064618,            0.030561,                   0,            0.070132,           0.0033186,           0.0033186
                   1,            0.061979,            0.031566,                   0,             0.62412,             0.63918,             0.61283,             0.21967,            0.053325,            0.026014,                   0,                0.04,           0.0065203,           0.0065203
                   2,            0.054661,             0.02784,                   0,             0.82676,             0.75941,             0.82427,             0.36945,            0.044271,            0.023946,                   0,           0.0097367,           0.0095899,           0.0095899
                   3,            0.048402,            0.026302,                   0,              0.8841,             0.81842,             0.88606,             0.42944,             0.03857,            0.021813,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.044373,            0.025139,                   0,             0.89273,             0.81479,             0.89097,             0.46731,            0.036751,            0.021562,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.041687,             0.02413,                   0,             0.90695,             0.82535,             0.90118,             0.49705,            0.035291,            0.021442,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.039822,            0.023298,                   0,             0.90942,             0.85804,             0.92246,              0.5077,            0.034082,            0.020488,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.037212,            0.022209,                   0,               0.909,             0.83724,             0.91069,             0.50305,            0.033638,            0.020721,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.036637,            0.021966,                   0,             0.92626,              0.8729,             0.93848,             0.54662,            0.030846,            0.018798,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.035563,            0.022089,                   0,             0.93613,             0.89996,             0.95215,             0.54128,             0.03069,            0.018195,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.034383,            0.021241,                   0,             0.92938,             0.89303,             0.94742,             0.56621,            0.029388,            0.018037,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.03343,            0.020547,                   0,             0.94211,             0.89725,             0.95687,             0.57926,            0.028363,            0.017731,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.033212,            0.020494,                   0,             0.93692,             0.90525,             0.95882,             0.57959,            0.028006,            0.017454,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.032736,             0.02037,                   0,             0.94985,             0.89997,             0.96086,             0.58654,            0.027779,            0.017266,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.031963,             0.02004,                   0,             0.94237,             0.91233,             0.96169,              0.5911,            0.027609,            0.017054,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.031697,            0.019815,                   0,             0.94468,             0.90203,             0.96051,             0.59607,              0.0276,             0.01716,                   0,            0.007228,            0.007228,            0.007228
