                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,1.6239,1.6011,1.2227,0.75686,0.59161,0.66876,0.3691,1.5415,1.3458,1.2585,0.070132,0.0033186,0.0033186
1,1.4665,0.95245,1.0968,0.8163,0.57067,0.64397,0.36011,1.5633,1.4809,1.2749,0.04,0.0065203,0.0065203
2,1.4714,0.9396,1.0924,0.83728,0.69648,0.7925,0.44295,1.3778,0.95578,1.0987,0.0097367,0.0095899,0.0095899
3,1.5071,0.92917,1.1053,0.84834,0.79408,0.86531,0.49504,1.3287,0.83268,1.075,0.009406,0.009406,0.009406
4,1.4754,0.87978,1.097,0.87493,0.77418,0.85666,0.49319,1.3408,0.84779,1.0923,0.009406,0.009406,0.009406
5,1.458,0.84689,1.0883,0.88887,0.80279,0.87503,0.51061,1.3163,0.76434,1.072,0.009208,0.009208,0.009208
6,1.4173,0.81715,1.0651,0.90688,0.84813,0.9175,0.54752,1.2514,0.71609,1.0367,0.00901,0.00901,0.00901
7,1.3913,0.7892,1.058,0.89939,0.84115,0.90968,0.55636,1.2062,0.64768,1.0085,0.008812,0.008812,0.008812
8,1.3822,0.77518,1.0545,0.90808,0.85774,0.92039,0.54582,1.2485,0.65112,1.0358,0.008614,0.008614,0.008614
9,1.3567,0.74061,1.0411,0.9115,0.85672,0.93046,0.56455,1.2079,0.61796,1.0156,0.008416,0.008416,0.008416
10,1.3425,0.7314,1.0369,0.93141,0.86971,0.93747,0.57386,1.2054,0.61958,1.0114,0.008218,0.008218,0.008218
11,1.3227,0.7146,1.0326,0.9337,0.86945,0.94366,0.58304,1.1623,0.5716,0.99276,0.00802,0.00802,0.00802
12,1.3113,0.69771,1.0241,0.92234,0.89006,0.94566,0.59475,1.1378,0.56514,0.98648,0.007822,0.007822,0.007822
13,1.2916,0.69071,1.0154,0.92994,0.88521,0.94226,0.59308,1.1431,0.55713,0.9804,0.007624,0.007624,0.007624
